nom,prix,product_id,etat,marque
KAFTAN DRESS WITH POCKETS,12.5 EUR,,New with tags,Zara
KNITTED WAISTCOAT,25.00 EUR,,New with tags,Zara
KNITTED WAISTCOAT,25.00 EUR,,New with tags,Zara
CORSETRY-INSPIRED LACE TOP,5.00 EUR,,New with tags,Zara
BLOCK HEEL SLINGBACK SHOES,40.00 EUR,,New with tags,Zara
BLOCK HEEL SLINGBACK SHOES,40.00 EUR,,New with tags,Zara
BLOCK HEEL SLINGBACK SHOES,40.00 EUR,,New with tags,Zara
BLOCK HEEL SLINGBACK SHOES,40.00 EUR,,New with tags,Zara
BLOCK HEEL SLINGBACK SHOES,40.00 EUR,,New with tags,Zara
MOUNTAIN BOOTS,31.00 EUR,,New with tags,Zara
LINEN STRAPPY TOP,25.00 EUR,,New with tags,Zara
LINEN STRAPPY TOP,25.00 EUR,,New with tags,Zara
LINEN STRAPPY TOP,25.00 EUR,,New with tags,Zara
LINEN STRAPPY TOP,25.00 EUR,,New with tags,Zara
PRINTED MIDI DRESS,45.00 EUR,,New with tags,Zara
PRINTED MIDI DRESS,45.00 EUR,,New with tags,Zara
PRINTED MINI DRESS,17.5 EUR,,New with tags,Zara
PRINTED MINI DRESS,17.5 EUR,,New with tags,Zara
LEATHER SANDALS RIA X ZARA,59.00 EUR,,New with tags,Zara
WAXED CROPPED JACKET,35.00 EUR,,New with tags,Zara
MATCHING HALTER TOP,20.00 EUR,,New with tags,Zara
SHORT GRIS  CEST UN ENSEMBLE AVEC LE BLAZER GRIS,29.00 EUR,,New with tags,Zara
WATER-REPELLENT OVERSIZE BOMBER JACKET,40.00 EUR,,New with tags,Zara
KNIT DRESS WITH CUT-OUT DETAIL - LIMITED EDITION,20.00 EUR,,New with tags,Zara
PRINTED PUFFER JACKET,35.00 EUR,,New with tags,Zara
PRINTED PUFFER JACKET,35.00 EUR,,New with tags,Zara
PRINTED PUFFER JACKET,35.00 EUR,,New with tags,Zara
PRINTED SATIN DRESS,29.95 EUR,,New with tags,Zara
PRINTED SATIN DRESS,29.95 EUR,,New with tags,Zara
BRUSHED FINISH KNIT CARDIGAN,35.00 EUR,,New with tags,Zara
BRUSHED FINISH KNIT CARDIGAN,35.00 EUR,,New with tags,Zara
CONTRAST PARKA WITH POCKETS,80.00 EUR,,New with tags,Zara
DRAPED CROP TOP,10.00 EUR,,New with tags,Zara
DRAPED CROP TOP,10.00 EUR,,New with tags,Zara
COAT WITH CONTRAST FLAPS - LIMITED EDITION,200.00 EUR,,New with tags,Zara
ZW COLLECTION RELAXED MID-RISE JEANS,25.00 EUR,,New with tags,Zara
ZW COLLECTION RELAXED MID-RISE JEANS,25.00 EUR,,New with tags,Zara
LEATHER HIGH BLOCK HEEL ANKLE BOOTS,39.00 EUR,,New with tags,Zara
ASYMMETRIC RIBBED TOP,10.00 EUR,,New with tags,Zara
ADERERROR PUFFER JACKET WITH GILET,160.00 EUR,,New with tags,Zara
ADERERROR PUFFER JACKET WITH GILET,160.00 EUR,,New with tags,Zara
COMBINED DRESS,10.00 EUR,,New with tags,Zara
BOUCLÉ OVERSIZE BOMBER JACKET,30.00 EUR,,New with tags,Zara
BOUCLÉ OVERSIZE BOMBER JACKET,30.00 EUR,,New with tags,Zara
BOUCLÉ OVERSIZE BOMBER JACKET,30.00 EUR,,New with tags,Zara
BOUCLÉ OVERSIZE BOMBER JACKET,30.00 EUR,,New with tags,Zara
PUFFER JACKET - THERMAL EDITION,70.00 EUR,,New with tags,Zara
HIGH-WAIST JACQUARD TROUSERS,25.00 EUR,,New with tags,Zara
SKATER KNIT DRESS,20.00 EUR,,New with tags,Zara
STRAIGHT FIT PRINTED JEANS,20.00 EUR,,New with tags,Zara
RIBBED TOP,12.00 EUR,,New with tags,Zara
RIBBED TOP,12.00 EUR,,New with tags,Zara
FLAT LEATHER CHELSEA BOOTS WITH STUDS,70.00 EUR,,New with tags,Zara
FLAT LEATHER CHELSEA BOOTS WITH STUDS,70.00 EUR,,New with tags,Zara
FLAT LEATHER CHELSEA BOOTS WITH STUDS,70.00 EUR,,New with tags,Zara
Z1975 MID-RISE STRAIGHT LONG-LENGTH JEANS,25.00 EUR,,New with tags,Zara
TRF OVERSIZE DENIM BOMBER JACKET,10.00 EUR,,New with tags,Zara
STRAPLESS DENIM DRESS TRF,30.00 EUR,,New with tags,Zara
TRF DENIM DRESS,40.00 EUR,,New with tags,Zara
FAUX LEATHER SKIRT WITH BELT,28.00 EUR,,New with tags,Zara
